date,campaign,adset,platform,spend,impressions,clicks,conversions,revenue,device
2025-07-09,Flash Deal,Broad,TikTok,60.53,5129,759,14,1807.05,Desktop
2025-07-12,Back to School,Lookalike,TikTok,257.57,6615,835,30,1656.39,Desktop
2025-07-05,Back to School,Broad,TikTok,166.82,1844,176,92,1793.14,Desktop
2025-07-24,Summer Sale,Broad,TikTok,200.71,8445,72,71,41.46,Mobile
2025-07-20,Xmas Promo,Lookalike,TikTok,453.64,556,371,71,200.75,Mobile
2025-07-05,Back to School,Broad,TikTok,166.46,3914,842,24,1901.12,Mobile
2025-07-27,Summer Sale,Retargeting,TikTok,475.8,724,505,69,1155.41,Mobile
2025-07-14,Back to School,Retargeting,TikTok,319.6,3360,322,29,907.92,Desktop
2025-07-26,Xmas Promo,Prospecting,TikTok,153.67,9281,75,31,670.76,Desktop
2025-07-26,Flash Deal,Prospecting,TikTok,339.53,8438,990,64,1509.7,Mobile
2025-07-19,Flash Deal,Retargeting,TikTok,397.87,9834,604,65,1583.44,Mobile
2025-07-19,Back to School,Lookalike,TikTok,54.69,6722,126,19,998.95,Mobile
2025-07-05,Xmas Promo,Broad,TikTok,38.2,3179,414,35,1108.07,Mobile
2025-07-17,Flash Deal,Broad,TikTok,226.35,9718,920,79,1777.65,Desktop
2025-07-16,Back to School,Lookalike,TikTok,181.95,9890,220,60,251.79,Mobile
2025-07-15,Back to School,Lookalike,TikTok,80.07,9793,815,82,1527.79,Desktop
2025-07-09,Back to School,Broad,TikTok,312.93,8947,630,8,220.22,Desktop
2025-07-28,Back to School,Retargeting,TikTok,51.21,2309,223,100,1407.92,Desktop
2025-07-14,Summer Sale,Prospecting,TikTok,45.65,7660,132,77,1647.28,Desktop
2025-07-16,Xmas Promo,Lookalike,TikTok,356.06,4253,369,99,181.07,Mobile
2025-07-08,Flash Deal,Lookalike,TikTok,51.57,7049,369,46,1973.55,Desktop
2025-07-09,Summer Sale,Broad,TikTok,193.39,5498,263,77,753.87,Desktop
2025-07-28,Flash Deal,Lookalike,TikTok,408.27,6125,955,7,1895.55,Desktop
2025-07-08,Flash Deal,Retargeting,TikTok,493.14,3261,795,17,1511.69,Desktop
2025-07-30,Flash Deal,Broad,TikTok,194.37,6289,450,50,185.33,Mobile
2025-07-30,Back to School,Retargeting,TikTok,390.8,9494,983,31,1125.64,Mobile
2025-07-11,Summer Sale,Lookalike,TikTok,217.87,1320,527,11,1814.58,Mobile
2025-07-08,Back to School,Retargeting,TikTok,64.49,8507,736,34,995.4,Mobile
2025-07-10,Summer Sale,Broad,TikTok,15.56,9567,247,88,947.95,Mobile
2025-07-24,Summer Sale,Broad,TikTok,37.59,4928,640,28,255.26,Mobile
2025-07-21,Flash Deal,Broad,TikTok,67.59,1009,395,13,1305.44,Mobile
2025-07-15,Summer Sale,Broad,TikTok,375.56,5339,781,100,1175.07,Desktop
